"Rank","Player","Team","Position","Points","Games","Avg"
"162","Pittsburgh Steelers","PIT","DST","8.0","1","8.0"
"169","Le'Veon Bell","Multi","RB","7.8","1","7.8"
"170","Auden Tate","CIN","WR","7.7","1","7.7"
"171","Dawson Knox","BUF","TE","7.5","1","7.5"
"171","Marquise Brown","BAL","WR","7.5","1","7.5"
"173","Tee Higgins","CIN","WR","7.4","1","7.4"
"173","Phillip Lindsay","Multi","RB","7.4","1","7.4"
"175","Chris Herndon IV","MIN","TE","7.2","1","7.2"
"176","Daniel Jones","NYG","QB","7.1","1","7.1"
"176","Tommy Sweeney","BUF","TE","7.1","1","7.1"
"176","Blake Jarwin","DAL","TE","7.1","1","7.1"
"179","Green Bay Packers","GB","DST","7.0","1","7.0"
"179","Cincinnati Bengals","CIN","DST","7.0","1","7.0"
"181","Rashod Bateman","BAL","WR","6.9","1","6.9"
"182","Terry McLaurin","WAS","WR","6.8","1","6.8"
"183","Noah Brown","DAL","WR","6.7","1","6.7"
"184","Hunter Renfrow","LV","WR","6.6","1","6.6"
"184","Kadarius Toney","NYG","WR","6.6","1","6.6"
"186","Travis Homer","SEA","RB","6.4","1","6.4"
"187","Brandon Zylstra","CAR","WR","6.2","1","6.2"
"188","Brandon McManus","DEN","K","6.0","1","6.0"
"188","Los Angeles Chargers","LAC","DST","6.0","1","6.0"
"188","Dyami Brown","WAS","WR","6.0","1","6.0"
"188","Mason Crosby","GB","K","6.0","1","6.0"
"188","Gerald Everett","SEA","TE","6.0","1","6.0"
"193","Zack Moss","BUF","RB","5.9","1","5.9"
"193","AJ Dillon","GB","RB","5.9","1","5.9"
"195","Michael Pittman Jr.","IND","WR","5.8","1","5.8"
"196","Nick Westbrook-Ikhine","TEN","WR","5.7","1","5.7"
"197","Rondale Moore","ARI","WR","5.6","1","5.6"
"197","Cameron Brate","TB","TE","5.6","1","5.6"
"199","Tyler Lockett","SEA","WR","5.5","1","5.5"
"200","Evan Engram","NYG","TE","5.4","1","5.4"
"200","Chris Moore","HOU","WR","5.4","1","5.4"
"202","Eric Saubert","DEN","TE","5.3","1","5.3"
"203","Ian Thomas","CAR","TE","5.1","1","5.1"
"203","DeVonta Smith","PHI","WR","5.1","1","5.1"
"205","Van Jefferson","LAR","WR","4.9","1","4.9"
"206","Mike Williams","LAC","WR","4.7","1","4.7"
"206","Mike Evans","TB","WR","4.7","1","4.7"
"206","Salvon Ahmed","MIA","RB","4.7","1","4.7"
"206","Dan Arnold","Multi","TE","4.7","1","4.7"
"210","Devin Duvernay","BAL","WR","4.6","1","4.6"
"211","Gabriel Davis","BUF","WR","4.5","1","4.5"
"212","Antonio Gibson","WAS","RB","4.4","1","4.4"
"213","Sony Michel","LAR","RB","4.2","1","4.2"
"214","Collin Johnson","NYG","WR","4.1","1","4.1"
"214","Malcolm Brown","MIA","RB","4.1","1","4.1"
"216","Tennessee Titans","TEN","DST","4.0","1","4.0"
"216","Ryan Succop","TB","K","4.0","1","4.0"
"216","Shi Smith","CAR","WR","4.0","1","4.0"
"216","Brandon Allen","CIN","QB","4.0","1","4.0"
"216","Miami Dolphins","MIA","DST","4.0","1","4.0"
"216","Tampa Bay Buccaneers","TB","DST","4.0","1","4.0"
"222","Ronald Jones II","TB","RB","3.9","1","3.9"
"223","Ray-Ray McCloud","PIT","WR","3.8","1","3.8"
"223","Nelson Agholor","NE","WR","3.8","1","3.8"
"223","Kyle Rudolph","NYG","TE","3.8","1","3.8"
"226","Chase Claypool","PIT","WR","3.7","1","3.7"
"226","Marcedes Lewis","GB","TE","3.7","1","3.7"
"226","Jody Fortson","KC","WR","3.7","1","3.7"
"229","Myles Gaskin","MIA","RB","3.4","1","3.4"
"229","Albert Wilson","MIA","WR","3.4","1","3.4"
"229","Demetric Felton","CLE","RB","3.4","1","3.4"
"232","Dede Westbrook","MIN","WR","3.3","1","3.3"
"233","Nyheim Hines","IND","RB","3.2","1","3.2"
"234","Luke Farrell","JAC","TE","3.1","1","3.1"
"235","Graham Gano","NYG","K","3.0","1","3.0"
"235","C.J. Ham","MIN","RB","3.0","1","3.0"
"235","Jacksonville Jaguars","JAC","DST","3.0","1","3.0"
"235","Seattle Seahawks","SEA","DST","3.0","1","3.0"
"235","New England Patriots","NE","DST","3.0","1","3.0"
"235","Nick Folk","NE","K","3.0","1","3.0"
"235","Austin Seibert","DET","K","3.0","1","3.0"
"235","Ka'imi Fairbairn","HOU","K","3.0","1","3.0"
"235","Chicago Bears","CHI","DST","3.0","1","3.0"
"235","Robert Tonyan","GB","TE","3.0","1","3.0"
"235","Donald Parham Jr.","LAC","TE","3.0","1","3.0"
"235","Detroit Lions","DET","DST","3.0","1","3.0"
"247","KhaDarel Hodge","DET","WR","2.9","1","2.9"
"248","Pharaoh Brown","HOU","TE","2.8","1","2.8"
"248","Anthony Schwartz","CLE","WR","2.8","1","2.8"
"250","Alex Erickson","CAR","WR","2.7","1","2.7"
"251","Jerick McKinnon","KC","RB","2.5","1","2.5"
"251","Jalen Guyton","LAC","WR","2.5","1","2.5"
"251","Tom Kennedy","DET","WR","2.5","1","2.5"
"254","Giovani Bernard","TB","RB","2.4","1","2.4"
"254","Amari Rodgers","GB","WR","2.4","1","2.4"
"256","Penny Hart","SEA","WR","2.2","1","2.2"
"256","Marquise Goodwin","CHI","WR","2.2","1","2.2"
"258","Chris Manhertz","JAC","TE","2.1","1","2.1"
"258","Foster Moreau","LV","TE","2.1","1","2.1"
"258","Anthony Firkser","TEN","TE","2.1","1","2.1"
"261","Cairo Santos","CHI","K","2.0","1","2.0"
"261","Jake Elliott","PHI","K","2.0","1","2.0"
"261","New York Giants","NYG","DST","2.0","1","2.0"
"261","Tommy Tremble","CAR","TE","2.0","1","2.0"
"261","Chris Conley","HOU","WR","2.0","1","2.0"
"261","Chase McLaughlin","CLE","K","2.0","1","2.0"
"267","Jamaal Williams","DET","RB","1.9","1","1.9"
"267","Jonnu Smith","NE","TE","1.9","1","1.9"
"267","D'Ernest Johnson","CLE","RB","1.9","1","1.9"
"267","James Washington","PIT","WR","1.9","1","1.9"
"267","Terrace Marshall Jr.","CAR","WR","1.9","1","1.9"
"272","Geoff Swaim","TEN","TE","1.8","1","1.8"
"272","Cethan Carter","MIA","TE","1.8","1","1.8"
"272","Joshua Palmer","LAC","WR","1.8","1","1.8"
"272","Isaiah McKenzie","BUF","WR","1.8","1","1.8"
"276","Chester Rogers","TEN","WR","1.7","1","1.7"
"276","John Bates","WAS","TE","1.7","1","1.7"
"276","Justin Jackson","LAC","RB","1.7","1","1.7"
"276","Ashton Dulin","IND","WR","1.7","1","1.7"
"276","Tyler Boyd","CIN","WR","1.7","1","1.7"
"281","Miles Boykin","BAL","WR","1.6","1","1.6"
"281","Freddie Swain","SEA","WR","1.6","1","1.6"
"281","Johnny Stanton","CLE","RB","1.6","1","1.6"
"281","DeSean Jackson","Multi","WR","1.6","1","1.6"
"281","Gabe Nabers","LAC","RB","1.6","1","1.6"
"281","David Njoku","CLE","TE","1.6","1","1.6"
"287","Kalen Ballage","PIT","RB","1.5","1","1.5"
"288","Austin Hooper","CLE","TE","1.4","1","1.4"
"288","Josiah Deguara","GB","TE","1.4","1","1.4"
"288","Jonathan Ward","ARI","RB","1.4","1","1.4"
"291","Jaret Patterson","WAS","RB","1.3","1","1.3"
"291","Jalen Richard","LV","RB","1.3","1","1.3"
"291","Phillip Dorsett II","Multi","WR","1.3","1","1.3"
"291","Trayveon Williams","CIN","RB","1.3","1","1.3"
"291","Mike Boone","DEN","RB","1.3","1","1.3"
"296","Josh Oliver","BAL","TE","1.2","1","1.2"
"296","Brandon Bolden","NE","RB","1.2","1","1.2"
"296","Marlon Mack","IND","RB","1.2","1","1.2"
"299","David Johnson","HOU","RB","1.1","1","1.1"
"299","Kenneth Gainwell","PHI","RB","1.1","1","1.1"
"301","Tyler Huntley","BAL","QB","1.0","1","1.0"
"301","Jacoby Brissett","MIA","QB","1.0","1","1.0"
"301","Houston Texans","HOU","DST","1.0","1","1.0"
"301","Alexander Mattison","MIN","RB","1.0","1","1.0"
"301","Philadelphia Eagles","PHI","DST","1.0","1","1.0"
"301","Denver Broncos","DEN","DST","1.0","1","1.0"
"301","Buffalo Bills","BUF","DST","1.0","1","1.0"
"308","Stephen Anderson","LAC","TE","0.9","1","0.9"
"309","Joshua Kelley","LAC","RB","0.7","1","0.7"
"310","Adam Humphries","WAS","WR","0.6","1","0.6"
"311","Royce Freeman","Multi","RB","0.3","1","0.3"
"312","Case Keenum","CLE","QB","0.2","1","0.2"
"313","Chris Myarick","NYG","TE","0.0","1","0.0"
"313","John Ross","NYG","WR","0.0","1","0.0"
"313","Tavon Austin","JAC","WR","0.0","1","0.0"
"313","Trenton Irwin","CIN","WR","0.0","1","0.0"
"313","Isaiah Ford","MIA","WR","0.0","1","0.0"
"313","Tyrie Cleveland","DEN","WR","0.0","1","0.0"
"313","Artavis Pierce","CHI","RB","0.0","1","0.0"
"313","Dax Milne","WAS","WR","0.0","1","0.0"
"313","Malik Turner","DAL","WR","0.0","1","0.0"
"313","Hunter Long","MIA","TE","0.0","1","0.0"
"313","Tyler Davis","GB","TE","0.0","1","0.0"
"313","Damion Ratley","FA","WR","0.0","1","0.0"
"313","Kellen Mond","MIN","QB","0.0","1","0.0"
"313","JJ Molson","GB","K","0.0","1","0.0"
"313","Allen Hurns","MIA","WR","0.0","1","0.0"
"313","Marcus Johnson","TEN","WR","0.0","1","0.0"
"313","Jesper Horsted","CHI","TE","0.0","1","0.0"
"313","Ameer Abdullah","Multi","RB","0.0","1","0.0"
"313","Jakeem Grant Sr.","Multi","WR","0.0","1","0.0"
"313","Gunner Olszewski","NE","WR","0.0","1","0.0"
"313","Rex Burkhead","HOU","RB","0.0","1","0.0"
"313","Jack Doyle","IND","TE","0.0","1","0.0"
"313","Khari Blasingame","TEN","RB","0.0","1","0.0"
"313","Tristan Vizcaino","LAC","K","0.0","1","0.0"
"313","Carlos Hyde","JAC","RB","0.0","1","0.0"
"313","Dare Ogunbowale","JAC","RB","0.0","1","0.0"
"313","Damiere Byrd","CHI","WR","0.0","1","0.0"
"313","Gary Brightwell","NYG","RB","0.0","1","0.0"
"313","DeAndre Carter","WAS","WR","0.0","1","0.0"
"313","Saquon Barkley","NYG","RB","0.0","1","0.0"
"313","Willie Snead IV","Multi","WR","0.0","1","0.0"
"313","Andre Roberts","Multi","WR","0.0","1","0.0"
"313","Demetrius Harris","ARI","TE","0.0","1","0.0"
